des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2019 YV5,2020,1,11,-2265.572907388785,6436887.508442221,4.4644156360313364e-05,13.9380965459074,24.4,9.667010037763178e-11,1.6224399869398492e-09,1,2,monitor
2020 BW8,2020,1,12,-2264.430546277674,1727329.4734070196,2.1665295681099688e-05,7.24050594965206,25.97,9.081515987251949e-11,5.0037952909312697e-11,1,2,watch
2020 AO1,2020,1,12,-2264.3361018332293,3267938.6866973555,6.162609094624733e-05,17.7016569143278,23.7,3.3381407164774625e-10,6.883186595709241e-09,1,2,watch
2020 AJ3,2020,1,12,-2264.3097129443404,7152696.920060845,2.342958631444978e-05,10.6140055599122,25.8,3.4767551622458136e-11,1.3599418107658797e-10,1,2,monitor
2020 AB2,2020,1,12,-2264.199296277674,1467097.5933078674,1.3482319680622481e-05,7.95663394333161,27.0,7.311979986540501e-11,1.4561981028403223e-11,1,4,watch
2020 BV5,2020,1,13,-2264.1298518332296,5600918.078257034,1.7448762063760924e-05,8.86719980851296,26.44,2.7624338986710795e-11,3.920438938461185e-11,1,4,monitor
2020 AE,2020,1,13,-2263.945824055452,4471016.896786235,2.4533788698883045e-05,6.76453473268081,25.7,3.7118997670784475e-11,6.342165438443617e-11,0,3,watch
2020 AX2,2020,1,13,-2263.7249907221185,3817331.9849643144,2.6900764377109344e-05,6.76217601270648,25.5,4.7653100204764694e-11,8.354772839879608e-11,0,0,watch
2020 AS1,2020,1,13,-2263.713879611007,6051765.663745018,1.5479774167485416e-05,5.6902982291657,26.7,1.4555178839925176e-11,1.1272798949182147e-11,0,0,monitor
2020 AE1,2020,1,13,-2263.563879611007,2517507.4565109224,1.0227385369094841e-05,4.17147893782697,27.6,1.6946651953653804e-11,1.7471967567017028e-12,0,0,watch
2025 AX2,2020,1,13,-2263.454157388785,4817487.4817313,1.424835150329777e-05,10.8915790801171,26.88,3.221327460589523e-11,3.2206490491222603e-11,0,0,watch
2020 BH,2020,1,14,-2263.0909629443404,1046926.8240227533,7.546830927015564e-06,3.42650262675473,28.26,2.470013701218401e-11,4.736568721618447e-13,1,0,watch
2020 BM,2020,1,14,-2262.5972129443403,4677399.633919749,1.7773158770352298e-05,7.98556824358164,26.4,3.034352062530967e-11,3.360263661932292e-11,0,0,watch
2020 AO,2020,1,14,-2262.3812407221185,3580384.478350144,4.6748170628532225e-05,19.4720512134297,24.3,2.542416263161748e-10,3.6356754769217654e-09,0,0,watch
2020 BS,2020,1,14,-2262.368740722118,1149583.3593317776,8.907680276931144e-06,4.12892287439675,27.9,3.1993438800829984e-11,1.1309287529745047e-12,0,0,watch
2020 BD,2020,1,14,-2262.3166573887847,1857578.215558358,1.9487881068282275e-05,11.4945823797923,26.2,1.2058983706354086e-10,9.178000961703829e-11,0,0,watch
2020 AQ24,2020,1,14,-2262.2062407221183,3095023.74421179,3.417941462787145e-05,16.5083125127235,24.98,1.8230698851150529e-10,1.0213323029182669e-09,1,0,watch
2020 BZ1,2020,1,15,-2262.079157388785,957425.852314994,1.3924019426284236e-05,7.70815268255143,26.93,1.1210107543377665e-10,1.5054360846396185e-11,1,0,watch
2020 CZ1,2020,1,15,-2261.6027684998962,3707056.0153964967,2.816855834366184e-05,8.83115186397142,25.4,6.710468239186027e-11,1.6360493921739785e-10,1,0,watch
2017 RZ15,2020,1,15,-2261.559018499896,4564614.811906232,1.2875515337365378e-05,7.41073307740143,27.1,2.0903627432115323e-11,1.1002314283651117e-11,0,2,watch
2020 BV2,2020,1,15,-2261.2861018332296,3286307.295025783,9.767077201869688e-06,3.64400043868192,27.7,1.0830159937302542e-11,1.1612307983760239e-12,0,2,watch
2020 BC,2020,1,15,-2261.2034629443406,3955167.06778722,1.9487881068282275e-05,5.60377853382557,26.2,2.761091193583456e-11,2.181341345359786e-11,0,2,watch
2020 AZ1,2020,1,16,-2261.099296277674,3165431.0591925667,1.620931344815481e-05,3.9557365277151,26.6,2.025625328652874e-11,6.254843097315484e-12,0,2,watch
2020 BD1,2020,1,16,-2261.0701296110074,1546947.5801309226,1.0709387191897302e-05,17.6117075759012,27.5,1.2192436121515788e-10,3.57572932540335e-11,0,2,watch
2019 YD3,2020,1,16,-2260.9499907221184,2634055.7812342173,2.2375081223848856e-05,4.83950917663714,25.9,4.11093841224881e-11,2.462432531169688e-11,0,2,watch
2020 BD5,2020,1,16,-2260.5284629443404,2984274.0799951213,1.4117721831528303e-05,12.1405466877382,26.9,5.743335110173607e-11,3.892585776729872e-11,1,2,watch
2020 BY1,2020,1,16,-2260.149990722118,1609629.3883182188,1.7773158770352298e-05,16.8368873335429,26.4,1.8590905083452152e-10,1.4937754448976502e-10,0,2,watch
2010 AE30,2020,1,17,-2260.1159629443405,4545268.005875015,6.453043913459657e-05,12.3130965669528,23.6,1.7481247036371272e-10,3.823809744129207e-09,0,4,watch
